Revenue (d2);Labor (l1);Variable Cost (n2a, n2e, n2f, n2b);Investment in new capital (n5a, n5b);Raw Materials Cost (n2e)
15000000000;50;11000000000;1500000000;7000000000
15000000000;6;14600000000;11000000000;13000000000
15000000000;5;235000000;0;
15000000000;12;630000000;0;
15000000000;140;6500000000;2500000000;
15000000000;34;13800000000;1000000000;11000000000
15000000000;80;12600000000;2000000000;10000000000
15000000000;10;10900000000;800000000;10000000000
15000000000;90;10150000000;200;9000000000
15000000000;100;12928000000;4000000000;10000000000
15000000000;105;12870000000;0;10000000000
15000000000;26;12500000000;500000000;9000000000
15000000000;300;11140000000;870000000;3000000000
15000000000;14;1114000000;0;0
15000000000;10;12423000000;0;12000000000
15000000000;12;10500000000;10000000000;6000000000
15000000000;17;11630000000;0;10000000000
15000000000;25;11755000000;150000000;10000000000
15000000000;8;436000000;100000000;
15000000000;18;9250000000;0;9000000000
15000000000;10;432000000;0;
15000000000;15;1092000000;Test;
15000000000;125;6200000000;0;
15000000000;25;12860000000;0;9750000000
15000000000;10;2336000000;0;650000000
15000000000;18;12000000000;400000000;0
15000000000;19;6480000000;0;4500000000
15000000000;40;2420000000;3700000000;320000000
15000000000;70;1820000000;1500000000;
15000000000;12;786000000;115000000;
15000000000;10;3000000000;1000000000;
15000000000;15;1000000000;0;
15000000000;20;2100000000;0;
15000000000;100;6140000000;150000000;1000000000
15000000000;25;11800000000;6000000000;11000000000
15000000000;100;11700000000;350000000;6500000000
15000000000;25;2500000000;700000000;
15000000000;2;223000000;0;
15000000512;16;13640599744;550000000;13331999744
15000000512;302;12088000512;0;9041000448
15000000512;11;14385999616;12000000;14149999616
15000000512;70;14427999744;3000000000;13507999744
15000000512;267;11504000000;100000000;8734000128
15000000512;120;9818999808;1000000000;8659999744
15000000512;80;14399999872;6200000000;13649999872
15000000512;90;2168000000;1700000000;1040000000
15000000512;70;11200000000;470000000;10000000000
15025000448;60;12866000000;0;11424000000
15047999488;100;13175000320;418000000;10906000384
15173999616;175;5885000192;2241999872;1095000064
15178000384;138;11597000320;0;10099000320
15203999744;204;13532999680;2932999936;10732999680
15226999808;180;12606999552;420000000;9806999552
15251999744;38;12198000192;0;11525000192
15301000192;102;11849000448;306000000;10136000512
15399999488;108;9733999744;3000000000;8899999744
15443000320;95;12383000064;0;10078000128
15457999872;100;11539000064;0;10256000000
15500000000;200;15050000000;0;9000000000
15564999680;186;10840000000;310000000;8590000128
