Revenue (d2);Labor (l1);Variable Cost (n2a, n2e, n2f, n2b);Investment in new capital (n5a, n5b);Raw Materials Cost (n2e)
0;22;0;100000000;0
0;8;0;0;0
0;71;0;0;0
0;0;0;0;0
0;2300;20500000000;18000000000;0
0;10;84000000;0;0
0;25;0;680;0
0;6;0;600000000;
0;6;3780000000;200000000;3600000000
0;6;0;0;
0;50;0;0;0
0;40;0;0;
0;20;186000000;500000000;0
0;2300;2,111E+11;0;1,3E+11
0;20;0;0;0
0;10;0;0;0
0;450;0;0;
0;12;1000000000;0;330000000
0;7;0;1000000000;0
0;20;0;60000000;
0;70;1740000000;0;0
0;102;1,25E+11;6000000000;1,2E+11
0;120;2580000000;0;0
0;500;0;0;0
0;841;0;0;0
0;120;360000000;7200000000;0
0;7;0;100000000;
0;5;0;0;0
0;20;0;0;0
0;8;0;0;
0;20;0;0;
0;120;0;0;0
0;25;0;0;0
0;25;0;2000000000;
0;60;0;0;
0;21;0;0;0
0;20;0;300000000;0
0;120;0;0;0
0;140;0;150000000;0
0;35;0;380000000;
0;100;7620000000;850000000;
0;6;310000000;2000000000;
0;20;720000000;550000000;
0;0;0;0;
0;10;1204000000;4000000000;1000000000
0;180;0;5000000000;0
0;5;606000000;0;0
0;30;0;60000000;
0;15;0;0;0
0;80;1905000000;1176000000;1269000000
0;5;181000000;0;0
0;10;134400000;620000000;
0;5;145800000;550000000;
0;18;2490000000;600000000;2000000000
0;100;2000000000;0;0
0;50;2748000000;4000000000;1500000000
0;35;840000000;0;
0;30;0;0;
0;33;0;300000000;0
0;30;0;1000000000;0
0;0;0;0;
0;3;0;0;
0;100;1300000000;0;1000000000
0;4;0;0;
0;20;83500000000;4000000000;80000000000
0;10;400000000;0;
6000000;9;324000000;0;13000000
40209000;24;31633000;906000000;30051000
42500000;;33000000;6000000;19000000
50000000;4;14000000;0;
50000000;6;15000000;70000000;
53700000;6;54000000;0;
60000000;5;40000000;0;
80000000;5;76000000;12000000;35000000
82000000;6;130000000;0;45000000
97294822;12;101000000;0;0
100000000;7;136000000;0;95000000
100000000;100;0;0;0
139300000;9;127300000;0;
140000000;5;35000000;1200000000;
140000000;83;244000000;0;100000000
141000000;36;269000000;1015000000;84200000
146000000;10;119000000;80000000;16000000
150000000;12;0;50000000;0
180000000;57;1629000000;597000000;977000000
180000000;5;104000000;0;60000000
180000000;3;174000000;500000000;0
200000000;6;46000000;0;
200000000;5;0;0;
200000000;8;114000000;0;0
200000000;9;144000000;25000000;70000000
200000000;8;162000000;10000000;10000000
200000000;8;1321000000;0;1200000000
204654000;400;179189000;6676999936;169862000
211000000;18;332000000;0;289000000
226000000;12;152000000;44000000;98000000
227000000;11;200000000;0;145000000
240000000;5;149000000;0;30000000
244000000;15;246000000;1420000000;121000000
250000000;17;216500000;0;12000000
250000000;5;73107200000;10000000;500000000
250000000;112;225000000;0;110000000
259000000;20;176000000;0;44000000
283000000;8;241000000;0;181000000
284000000;15;283000000;0;190000000
292000000;6;262000000;150000000;36000000
300000000;2;279000000;500000000;90000000
300000000;6;281000000;0;180000000
300000000;7;165000000;0;
300000000;12;216000000;0;
300000000;10;144000000;0;
310000000;12;190000000;0;
328700000;18;251000000;0;119000000
330000000;6;308000000;0;0
350000000;60;378000000;0;0
350000000;10;312000000;0;240000000
355000000;30;277000000;0;30000000
365000000;6;350000000;0;70000000
366000000;20;305500000;0;247900000
380000000;24;300000000;60000000;200000000
380000000;5;265000000;150000000;173000000
386480000;18;307790992;0;217490992
390000000;10;344000000;7000000;205000000
400000000;5;494000000;50000000;200000000
400000000;6;160000000;0;
412000000;39;235000000;45000000;10000000
419950016;9;378000000;0;303000000
420000000;10;288000000;14000000;204000000
420000000;5;264400000;0;60000000
437800000;13;318000000;50000000;241000000
443000000;11;183000000;50000000;
450000000;3;372750000;0;222750000
451000000;56;407000000;0;93000000
453000000;25;613000000;108000000;165000000
460000000;24;368600000;0;116200000
461400000;20;322000000;0;126600000
463000000;15;390000000;0;291000000
474000000;6;398000000;0;200000000
500000000;3;121000000;0;
500000000;10;0;0;0
500000000;5;305000000;22000000;
500000000;5;130000000;0;10000000
500000000;5;412000000;0;220000000
500000000;25;350000000;0;100000000
500000000;7;295000000;0;
500000000;5;230000000;0;90000000
500000000;25;367800000;270000000;162800000
500000000;14;401000000;0;251000000
505808305;6;538861276;0;471061276
508000000;19;228000000;1710000000;199000000
525000000;35;434000000;24000000;184000000
526000000;7;116000000;0;
540000000;37;373000000;3130000000;73000000
541000000;11;488000000;0;282000000
545000000;11;371000000;25000000;250000000
550000000;30;480000000;500000000;228000000
553000000;7;468000000;0;376000000
567000000;12;412900000;65000000;250900000
570200000;25;428000000;40000000;248000000
576000000;12;598000000;300000000;316000000
580420000;8;282000000;0;
583200000;20;438000000;30000000;90000000
593190016;18;208328000;234632000;113000000
600000000;7;520000000;0;300000000
600000000;22;540000000;70000000;350000000
600000000;13;660000000;500000000;0
600000000;35;574000000;100000000;10000000
600000000;6;252000000;0;
600000000;5;158400000;4000000;0
600000000;60;650000000;2500000000;400000000
608000000;5;586000000;40000000;232000000
614000000;8;304000000;0;
619000000;18;231000000;410000000;
643000000;10;362100000;0;169000000
650000000;22;370000000;0;50000000
659400000;9;547200000;60000000;503200000
665000000;15;497000000;5400000000;393000000
665000000;12;538000000;470000000;421000000
670000000;18;532000000;11000000;214000000
677000000;58;593000000;450000000;98000000
683595147;20;595131000;0;371131000
689400000;11;554708000;0;443108000
693000000;24;350000000;0;100000000
694000000;55;632000000;70000000;248000000
697000000;10;582000000;0;486000000
700000000;32;636660000;0;0
700000000;7;258000000;30000000;
700000000;10;560000000;100000000;140000000
700000000;12;493999992;420000000;365100000
700000000;9;0;0;
700000000;15;806000000;0;420000000
700000000;6;510000000;0;70000000
700000000;15;790000000;0;0
700000000;20;680000000;850000000;70000000
700000000;34;402000000;3500000000;219000000
709515700;5;703311677;0;270946938
719000000;9;158000000;1300000000;124000000
720000000;8;705000000;30000000;150000000
720000000;6;71200000;0;
720000000;72;518000000;80000000;38000000
724309000;9;698629000;0;588865000
724325464;37;142144657;0;
750000000;10;663000000;0;250000000
750000000;8;168000000;0;
750000000;6;130000000;0;
750000000;12;540000000;275000000;390000000
760000000;9;312935867;0;87515867
760000000;6;677700000;5146999808;580000000
770000000;32;1480000000;2040000064;910000000
780000000;25;87415000;600000000;
792000000;5;768000000;0;
800000000;10;611000000;108000000;527000000
800000000;15;545000000;0;180000000
800000000;25;680000000;0;400000000
800000000;15;594000000;0;120000000
800000000;6;252000000;0;
800000000;5;330000000;200000000;0
800000000;10;736000000;0;500000000
800000000;10;669600000;20000000;300000000
800000000;12;420000000;0;100000000
800000000;20;623000000;0;130000000
800000000;25;890000000;480000000;560000000
800000000;60;715000000;90000000;109000000
800000000;12;405000000;1210499968;155000000
806000000;5;796000000;0;0
806000000;15;390000000;0;180000000
812000000;31;694000000;25000000;496000000
821000000;6;970000000;200000000;300000000
824000000;35;733000000;340000000;397000000
834000000;25;787000000;2069999968;427000000
840000000;10;790000000;0;120000000
840000000;15;728200000;100000000;270000000
840000000;12;733000000;10000000;589000000
842704000;30;677510016;0;354340000
850000000;20;613200000;0;454800000
850000000;6;426400000;700000000;180000000
876000000;13;820600000;1045000000;673600000
880000000;8;495627008;0;155700000
882000000;14;599000000;693000000;384000000
888000000;32;756000000;0;591000000
899000000;30;649000000;0;449000000
900000000;14;750000000;3600000000;0
900000000;18;610000000;0;150000000
900000000;5;5000000;0;
900000000;15;1360000000;100000000;840000000
900000000;18;525360000;0;400000000
900000000;10;602000000;0;350000000
903000000;25;775000000;200000000;405000000
925400000;21;665940000;100000000;315790016
946600000;26;935100032;710600000;922900032
950000000;14;215000000;230000000;40000000
950000000;10;328000000;20000000;250000000
950000000;7;350000000;0;
950000000;18;670000000;200000000;200000000
995000000;9;640000000;0;0
1000000000;15;720000000;12000000;360000000
1000000000;10;833000000;100000000;700000000
1000000000;10;940000000;0;700000000
1000000000;7;1129800000;870000000;1000000000
1000000000;2;853000000;600000000;600000000
1000000000;9;771000000;0;400000000
1000000000;13;714000000;0;50000000
1000000000;7;566000000;0;200000000
1000000000;5;725000000;0;500000000
1000000000;9;756000000;10000000;
1000000000;15;0;0;0
1000000000;8;450000000;0;0
1000000000;7;990000000;150000000;80000000
1000000000;5;52000000;100000000;
1000000000;8;960000000;200000000;360000000
1000000000;20;875000000;7100000000;120000000
1000000000;5;766000000;0;100000000
1000000000;20;820000000;200000000;500000000
1000000000;10;585000000;0;500000000
1000000000;19;942000000;12000000000;
1000000000;15;806000000;33000000;300000000
1000000000;12;800000000;0;
1000000000;15;799000000;0;600000000
1000000000;35;1800000000;850000000;100000000
1000000000;10;760000000;0;
1000000000;8;930000000;0;80000000
1000000000;400;750000000;130000000;250000000
1000000000;5;270000000;50000000;0
1000000000;15;1160000000;0;400000000
1000000000;5;162000000;0;
1000000000;45;600000000;0;
1000000000;10;510000000;50000000;
1000000000;7;114000000;0;
1000000000;12;880000000;0;700000000
1000000000;20;595000000;50000000;300000000
1000000000;30;660000000;280000000;160000000
1000000000;25;764000000;800000000;500000000
1016499968;26;934999984;357000000;679449984
1031000000;35;481000000;0;109000000
1032000000;20;1010000000;18000000;900000000
1043720000;20;1142660000;0;777920000
1050000000;6;1232000000;0;1160000000
1051000000;30;1016000000;28000000;766000000
1062000000;64;1078000000;0;422000000
1086000000;15;840000000;0;747000000
1100000000;20;50000000;0;0
1100000000;12;130000000;20000000;
1100000000;22;185000000;500000000;70000000
1100000000;23;850000000;0;200000000
1100000000;7;410000000;0;
1100000000;5;204000000;0;0
1100000000;5;805000000;38000000;440000000
1100000000;15;875000000;0;200000000
1100000000;20;786000000;0;300000000
1100000000;15;400000000;0;
1106000000;19;332000000;0;
1124999936;18;849000000;126000000;619000000
1125000000;34;1268000000;50000000;700000000
1146000000;40;893000000;457000000;491000000
1150000000;13;1010000000;20000000;600000000
1151000000;8;592000000;50000000;350000000
1155000064;17;617000000;120000000;380000000
1163400064;33;568000000;0;302000000
1172000000;40;1159000000;588600000;896000000
1172999936;76;2946999936;0;2284999936
1186359936;20;1198809984;0;806419968
1200000000;25;1040000000;580000000;800000000
1200000000;30;1120000000;620000000;700000000
1200000000;6;554000000;0;
1200000000;6;877000000;0;540000000
1200000000;5;345000000;400000000;
1200000000;6;930000000;2000000000;
1200000000;6;1056000000;120000000;656000000
1200000000;20;1080000000;120000000;600000000
1200000000;25;430000000;200000000;135000000
1200000000;12;1054000000;0;950000000
1200000000;30;851000000;330000000;491000000
1200000000;2671;700000000;300000000;300000000
1200000000;12;996000000;0;890000000
1200000000;19;1078000000;100000000;678000000
1200999936;35;960000000;145000000;663000000
1239000064;10;970000000;0;800000000
1250000000;5;305000000;140000000;
1256999936;28;815000000;311000000;534000000
1271000064;48;1138000000;0;704000000
1275000064;14;1075000000;36000000;965000000
1300000000;12;1390000000;0;200000000
1300000000;30;1296000000;0;600000000
1300000000;8;840000000;260000000;500000000
1300000000;13;1210000000;0;800000000
1300000000;10;730000000;0;
1300000000;7;960000000;0;300000000
1300000000;20;1070000000;25000000;520000000
1300000000;15;1125000000;300000000;600000000
1300000000;7;197000000;70000000;
1300000000;12;811000000;800000000;300000000
1300000000;10;1008000000;0;906000000
1320000000;12;714000000;0;120000000
1334000000;10;623000000;51000000;555000000
1343000064;47;835000000;23000000;412000000
1347000064;140;1104000000;11000000;128000000
1350000000;15;1048500032;0;877500032
1360999936;42;415000000;0;46000000
1363000000;30;120000000;7000000000;
1387000064;16;1193000000;0;1034000000
1396000000;14;1552999936;1720000000;1284999936
1400000000;10;174000000;0;
1400000000;10;485000000;0;0
1400000000;12;1445000000;300000000;420000000
1400000000;10;1168000000;0;600000000
1400000000;80;1020000000;700000000;110000000
1427000064;128;1295000000;0;1002000000
1440000000;40;1464000000;800000000;200000000
1451000064;32;1418739968;0;1053939968
1483000000;5;1441000000;0;1050000000
1496000000;30;1288000000;0;922000000
1500000000;52;3050000000;0;1000000000
1500000000;50;1220000000;0;200000000
1500000000;70;1596000000;100000000;120000000
1500000000;10;276000000;400000000;
1500000000;7;153000000;0;0
1500000000;5;87000000;4000000;
1500000000;20;1140000000;0;600000000
1500000000;11;1310000000;0;200000000
1500000000;18;216000000;0;
1500000000;7;1730000000;0;500000000
1500000000;20;560000000;100000000;
1500000000;15;730000000;400000000;130000000
1500000000;12;960000000;280000000;0
1500000000;15;1104000000;0;
1500000000;30;160000000;0;0
1500000000;12;587000000;0;80000000
1500000000;3;210000000;70000000;
1500000000;6;272000000;60000000;
1500000000;58;1176000000;0;
1500000000;10;276000000;0;
1500000000;5;30000000;20000000;
1500000000;18;0;200000000;
1500000000;30;1140000000;200000000;800000000
1500000000;50;961000000;0;60000000
1500000000;7;75000000;0;
1500000000;60;1197000000;25000000;687000000
1500000000;76;522000000;4600000000;
1500000000;68;861000000;179000000;307000000
1500000000;95;1316000000;0;6000000
1514000000;42;990000000;600000000;130000000
1536999936;21;1316000000;215000000;1076000000
1537000000;14;1282000000;0;500000000
1553000000;15;0;150000000;0
1559000064;114;4000000000;50000000;3000000000
1600000000;5;200000000;0;
1600000000;32;3316000000;300000000;1000000000
1600000000;30;1550000000;495000000;450000000
1600000000;5;136000000;100000000;
1600000000;100;920000000;0;600000000
1600000000;5;178000000;0;14000000
1600000000;7;250000000;50000000;0
1600000000;8;1710000000;0;800000000
1600000000;30;970000000;300000000;370000000
1600000000;60;1232000000;0;470000000
1620000000;8;1230000000;0;600000000
1624999936;17;1095000000;1350000000;975000000
1644999936;2;1559000000;0;1420000000
1666000000;80;1420999936;2500000000;
1700000000;35;1520000000;0;1000000000
1700000000;8;802000000;0;
1700000000;35;1310000000;300000000;40000000
1700000000;20;1420000000;500000000;800000000
1700000000;18;1340000000;240000000;1100000000
1700000000;100;1010410000;300000000;163410000
1722000000;16;1432000000;0;1306000000
1738000000;24;902000000;0;639000000
1740000000;26;1873400064;890000000;258400000
1760000000;50;300000000;0;
1763520000;10;1391000000;0;1256000000
1782000000;35;1550000000;1268000000;990000000
1786000000;100;1474000000;0;200000000
1796000000;47;1383000000;0;1023000000
1800000000;6;205500000;0;
1800000000;14;1100000000;600000000;450000000
1800000000;10;1462000000;0;120000000
1800000000;11;800000000;0;
1800000000;40;1470000000;0;180000000
1800000000;8;240000000;0;0
1800000000;6;180000000;0;
1800000000;13;1200000000;40000000;
1800000000;5;187200000;100000000;
1800000000;12;360000000;54414000000;
1800000000;12;1000000000;600000000;
1800000000;15;1510000000;100000000;1360000000
1800000000;60;1198000000;0;586000000
1800000000;25;1578000000;12900000000;1278000000
1802000000;130;1424000000;0;566000000
1842000000;61;1577000000;757000000;1154000000
1842880000;72;1288959952;150000000;1042469952
1879494685;18;492895500;20000000;
1900000000;30;1670000000;800000000;1500000000
1900000000;30;0;0;
1900000000;15;1506000000;3052000000;1140000000
1916999936;47;1453000064;0;1203000064
1922000000;17;820000000;3840000000;160000000
1924999936;80;1790000000;3000000;710000000
1980000000;7;216000000;0;
2000000000;19;36000000;32000000;
2000000000;11;820000000;0;
2000000000;10;830000000;0;
2000000000;30;1800000000;0;1200000000
2000000000;14;993000000;70000000;700000000
2000000000;22;1544000000;0;1230000000
2000000000;18;1670000000;0;1400000000
2000000000;14;923000000;1000000000;400000000
2000000000;12;850000000;0;400000000
2000000000;12;500000000;700000000;0
2000000000;16;1780000000;0;1000000000
2000000000;7;0;0;
2000000000;25;2140000000;400000000;1000000000
2000000000;24;1884000000;0;1000000000
2000000000;20;1732000000;0;450000000
2000000000;20;1100000000;800000000;200000000
2000000000;20;1030000000;2000000000;
2000000000;35;2290000000;2400000000;1900000000
2000000000;45;1695000000;0;1000000000
2000000000;23;1442692000;0;839784000
2000000000;40;1510000000;0;500000000
2000000000;10;300000000;0;
2000000000;48;1730000000;48000000;800000000
2000000000;21;1325000000;0;600000000
2000000000;30;2060000000;200000000;1430000000
2000000000;12;350000000;0;
2000000000;12;1538000000;400000000;1400000000
2000000000;9;1570000000;0;700000000
2000000000;43;1810000000;300000000;0
2000000000;52;1416000000;1000000000;180000000
2000000000;10;1775000000;100000000;1000000000
2000000000;10;1730000000;0;
2000000000;5;204000000;0;
2000000000;20;200000000;0;0
2000000000;25;60000000;0;0
2000000000;15;1582000000;0;
2000000000;50;1100000000;0;900000000
2000000000;5;1830000000;0;1500000000
2000000000;9;2150000000;0;200000000
2000000000;5;1720000000;0;
2000000000;80;1906000000;0;
2000000000;17;985000000;0;350000000
2000000000;0;930000000;0;
2000000000;6;1415000000;100000000;800000000
2000000000;18;1350000000;450000000;1000000000
2000000000;5;660000000;0;
2000000000;5;630000000;0;
2000000000;10;1560000000;0;800000000
2000000000;12;780000000;1000000000;
2000000000;26;1300000000;300000000;600000000
2000000000;35;1830000000;100000000;600000000
2000000000;50;1500000000;0;400000000
2000000000;6;1564000000;200000000;1100000000
2000000000;30;600000000;600000000;0
2000000000;8;15000000;0;0
2000000000;9;550000000;0;
2000000000;7;126000000;600000000;
2000000000;10;1700000000;500000000;0
2000000000;12;953000000;0;700000000
2000000000;30;1800000000;1600000000;350000000
2000000000;38;1860000000;1000000000;600000000
2000000000;17;1350000000;200000000;500000000
2000000000;150;500000000;0;
2000000000;60;1200000000;700000000;
2000000000;30;600000000;600000000;0
2000000000;28;0;0;0
2000000000;25;900000000;0;
2000000000;23;57000000;0;
2000000000;6;1700000000;580000000;1200000000
2000000000;40;1082000000;550000000;503000000
2000000000;10;1140000000;4000000000;900000000
2020000000;41;1846999936;0;1508999936
2050000000;20;1820000000;6500000000;1340000000
2080000000;13;2168000000;300000000;1500000000
2100000000;19;2700000000;0;1100000000
2100000000;8;1224000000;0;
2100000000;15;802000000;600000000;
2100000000;7;200000000;0;
2100000000;186;1630000000;1960000000;1100000000
2111000064;40;1450000000;24000000;1200000000
2114000000;27;1548000000;0;1374000000
2115000064;34;1365000000;0;1140000000
2134000000;8;1864000000;0;1814000000
2136999936;14;1474000000;250000000;1450000000
2152000000;56;1695000000;264000000;1344000000
2184000000;29;856000000;2325000064;511000000
2190000128;66;1301000000;64000000;731000000
2193699840;511;1516699968;2539600000;23000000
2196000000;6;1828000000;1000000000;60000000
2200000000;70;1504000000;1500000000;700000000
2200000000;5;410000000;700000000;
2200000000;9;1979358039;500000000;1675058039
2200000000;132;830000000;0;80000000
2200000000;30;2150000000;250000000;1500000000
2200000000;330;3400000000;1380000000;1700000000
2230000128;20;1930000000;0;1580000000
2250000000;12;425000000;35000000;
2255000064;21;320000000;1300000000;57000000
2264999936;215;1565000000;61000000;269000000
2280999936;28;916400000;0;538000000
2292999936;27;1916000064;1550000000;769000000
2298200064;41;765800000;0;444000000
2300000000;30;1340000000;50000000;540000000
2300000000;10;270000000;0;
2300000000;30;820000000;300000000;
2300000000;20;750000000;500000000;
2300000000;7;250000000;0;
2300000000;12;1812000000;300000000;1600000000
2300000000;80;2190000000;0;1400000000
2300000000;30;1509000000;20000000;1300000000
2300000000;40;1976000000;310000000;1640000000
2300000000;80;2016000000;100000000;1200000000
2337999872;30;1760000000;624000000;1400000000
2339699968;23;2062880032;0;1668380032
2368000000;32;1870000000;160000000;1468000000
2400000000;11;3421000000;0;2900000000
2400000000;17;1618000000;75000000;1500000000
2400000000;38;2526000000;0;700000000
2400000000;70;1360000000;652000000;1000000000
2400000000;20;1782000000;60000000;1586000000
2414439936;40;1785609984;66749996;979800000
2456000000;9;1927000064;13000000;1663000064
2456999936;16;2015000064;0;1839000064
2459000064;16;2246000000;392000000;1840000000
2463000064;21;2295000000;395000000;2040000000
2468000000;15;1896000000;630000000;1680000000
2471000064;30;2932000000;0;2452000000
2500000000;17;255000000;0;
2500000000;8;1990000000;1000000000;1500000000
2500000000;15;1582000000;1000000000;1200000000
2500000000;5;885000000;0;600000000
2500000000;70;2500000000;0;1750000000
2500000000;25;2332999936;20000000;2124999936
2500000000;10;1920000000;0;500000000
2500000000;25;2164000000;0;1620000000
2500000000;12;100000000;300000000;0
2500000000;17;2075000000;30000000;50000000
2500000000;8;436000000;0;
2500000000;6;488000000;3000000000;
2500000000;5;1500000000;1000000000;1000000000
2500000000;6;530000000;0;
2500000000;11;0;100000000;
